#auto generated file!
2997;17;12;24;1;0;232;8319;39;180.0210267321809;180.27241014834817;0.01938341616726709;0.01938341616726709;0.0;0.0
2998;6;1;2;1;0;2582;683;8;180.15860137651094;182.75979214191605;0.01964434610336762;0.01964434610336762;0.0;0.0
2999;5;0;0;1;0;2074;3664;10;180.2404809023116;184.80312288838246;0.020043460003438623;0.020043460003438623;0.0;0.0
3000;8;3;7;1;0;1095;2044;21;180.24048128451642;182.05143981673814;0.01970082475993216;0.01970082475993216;0.0;0.0
3001;7;2;5;1;0;1030;5251;10;180.46173994705936;182.78179963415815;0.019810654319812743;0.019810654319812743;0.0;0.0
3002;7;2;5;1;0;5900;3696;6;180.46432180719628;188.12880618877065;0.01980193192090507;0.01980193192090507;0.0;0.0
3003;15;10;20;1;0;3342;183;4;180.5062543077434;183.8670929553442;0.0191585714332173;0.0191585714332173;0.0;0.0
3004;17;12;25;1;0;191;950;45;180.50864815412393;180.90940804147516;0.019412935447355457;0.019412935447355457;0.0;0.0
3005;10;5;10;1;0;5970;1515;49;180.51027922414542;186.4988893934116;0.019400447242613337;0.019400447242613337;0.0;0.0
3006;11;6;13;1;0;1482;653;1;180.53408443110604;182.18527226378563;0.019459624324310185;0.019459624324310185;0.0;0.0
3007;7;2;5;1;0;467;471;15;180.59561210945307;181.76624842176255;0.019810654319812743;0.019810654319812743;0.0;0.0
3008;16;11;23;1;0;2232;2549;25;180.62174699868393;182.87207490455427;0.019113301220154984;0.019113301220154984;0.0;0.0
3009;7;2;5;1;0;1805;1632;14;180.65313479167804;183.8478505986386;0.01980193192090507;0.01980193192090507;0.0;0.0
3010;14;9;18;1;0;2887;1188;31;180.65378954822668;183.56002244615135;0.019232897924673045;0.019232897924673045;0.0;0.0
3011;18;13;27;1;0;2151;509;34;180.67653570493692;183.20986180595906;0.019429966522701708;0.019429966522701708;0.0;0.0
3012;13;8;16;1;0;4025;201;19;180.75029228515402;184.79448683755555;0.019299402295944304;0.019299402295944304;0.0;0.0
3013;8;3;6;1;0;3878;30;51;180.89478850644485;185.0140756368653;0.01973148010113822;0.01973148010113822;0.0;0.0
3014;9;4;9;1;2;2456;838;141;180.91705590788433;183.3922831393266;0.019810654319812743;0.019810654319812743;0.0;0.0
3015;7;2;4;1;0;11347;1858;20;180.98143776744274;194.1284231760443;0.01980193192090507;0.01980193192090507;0.0;0.0
3016;9;4;8;1;0;1252;472;2;181.0907174068146;182.36186656220417;0.019810654319812743;0.019810654319812743;0.0;0.0
3017;8;3;7;1;0;238;828;13;181.11424633781317;181.6640756368653;0.01973148010113822;0.01973148010113822;0.0;0.0
3018;8;3;6;1;0;3402;1885;1;181.25734415676416;184.9000756368653;0.01973148010113822;0.01973148010113822;0.0;0.0
3019;10;5;11;1;0;69;440;4;181.33605424963656;181.42447568992807;0.01942144029150357;0.01942144029150357;0.0;0.0
3020;8;3;7;1;0;238;4555;28;181.36390109591332;181.8830756368653;0.01973148010113822;0.01973148010113822;0.0;0.0
3021;18;13;26;1;0;4030;1133;28;181.59581874817601;186.41736180595908;0.019459624324310185;0.019459624324310185;0.0;0.0
3023;5;0;1;1;0;1228;2460;22;181.89611605440575;184.16262288838246;0.020043460003438623;0.020043460003438623;0.0;0.0
3024;7;2;5;1;0;372;2821;77;181.92966311615695;182.76179963415817;0.019810654319812743;0.019810654319812743;0.0;0.0
3025;8;3;6;1;0;444;1586;9;182.011708336637;182.69643981673815;0.01973148010113822;0.01973148010113822;0.0;0.0
3026;18;13;27;1;2;714;1713;113;182.10059140860812;183.18986180595908;0.019459624324310185;0.019459624324310185;0.0;0.0
3027;5;0;0;1;0;1366;1681;40;182.1008123233657;185.24894126745596;0.020043460003438623;0.020043460003438623;0.0;0.0
3028;11;6;12;1;0;92;578;4;182.22337212496663;182.33483174929097;0.019459624324310185;0.019459624324310185;0.0;0.0
3029;18;13;26;1;0;2562;1410;10;182.31090218163476;185.66446567145965;0.019459624324310185;0.019459624324310185;0.0;0.0
3030;9;4;9;1;0;260;1935;12;182.48247248500678;182.7622831393266;0.019810654319812743;0.019810654319812743;0.0;0.0
3031;5;0;1;1;0;332;3678;50;182.67107942837902;183.40486464033182;0.020052316966134763;0.020052316966134763;0.0;0.0
3032;15;10;21;1;0;277;836;30;182.76193438391098;183.0580929553442;0.0191585714332173;0.0191585714332173;0.0;0.0
3033;8;3;7;1;0;2765;692;9;182.79244923904264;185.5770756368653;0.01973148010113822;0.01973148010113822;0.0;0.0
3034;11;6;13;1;0;1698;1452;13;182.96147292127068;184.67848131040273;0.01950653857181711;0.01950653857181711;0.0;0.0
3035;6;1;3;1;0;759;155;68;183.031480392588;183.81009437343627;0.019613980848289456;0.019613980848289456;0.0;0.0
3036;5;0;1;1;0;4872;3325;9;183.1313885270028;190.45852974764338;0.02003462568336637;0.02003462568336637;0.0;0.0
3037;7;2;4;1;0;23;2502;1;183.15001153821993;183.20432219253976;0.019810654319812743;0.019810654319812743;0.0;0.0
3038;7;2;5;1;0;350;186;1;183.1909946608951;183.7288505986386;0.01980193192090507;0.01980193192090507;0.0;0.0
3039;7;2;4;1;0;86;5811;1;183.1975486667177;183.3463593210375;0.019810654319812743;0.019810654319812743;0.0;0.0
3040;17;12;24;1;2;2040;3767;180;183.20335321437074;185.2619817618011;0.01942144029150357;0.01942144029150357;0.0;0.0
3041;10;5;10;1;0;333;500;25;183.23645942688887;183.5888808671804;0.01942144029150357;0.01942144029150357;0.0;0.0
3042;11;6;12;1;0;3890;2474;14;183.29697477183092;187.20648131040272;0.01950653857181711;0.01950653857181711;0.0;0.0
3043;12;7;15;1;0;189;1564;12;183.44101213375873;183.64917070519195;0.0191585714332173;0.0191585714332173;0.0;0.0
3044;16;11;22;1;0;327;193;55;183.71540611274096;184.06149096874054;0.019084855999560113;0.019084855999560113;0.0;0.0
3045;10;5;11;1;0;576;4572;1;183.72681424129;184.3222356815815;0.01942144029150357;0.01942144029150357;0.0;0.0
3046;6;1;2;1;0;1609;1234;17;183.81470635041563;185.4425611393799;0.019613980848289456;0.019613980848289456;0.0;0.0
3047;18;13;27;1;0;2774;2307;28;184.04591260148163;186.83926861953455;0.01945109809311205;0.01945109809311205;0.0;0.0
3048;7;2;5;1;0;1074;1036;8;184.09053520645392;185.18430618877068;0.019770982316738725;0.019770982316738725;0.0;0.0
3049;17;12;25;1;0;1529;197;204;184.12861756346356;185.67667861123672;0.01942144029150357;0.01942144029150357;0.0;0.0
3050;14;9;19;1;0;4669;346;6;184.13571822874889;188.92072501088796;0.01922449881823784;0.01922449881823784;0.0;0.0
